City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,75.45,broken clouds,-23.1203,-134.9692,People ThankYou
12,Atuona,PF,78.12,scattered clouds,-9.8,-139.0333,Villa Enata
16,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
17,Esmeraldas,BR,72.64,light rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
20,Kawalu,ID,74.93,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
39,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Wanning,CN,72.57,overcast clouds,18.8003,110.3967,Paradise Hotel
50,Acapulco,MX,78.06,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
57,Pointe-Noire,CG,78.87,overcast clouds,-4.7761,11.8635,Kactus Lodge
59,Sao Miguel Do Araguaia,BR,75.33,light rain,-13.275,-50.1628,Hotel Executivo Palace
62,Tagbac,PH,71.92,overcast clouds,7.089,125.1567,Sitio Maupot Family Resort
65,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
85,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
86,Pangkalanbuun,ID,78.64,light rain,-2.6833,111.6167,Grand Kecubung Hotel
88,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
93,Mogadishu,SO,78.96,broken clouds,2.0371,45.3438,Hotel Juba
94,Ponta Do Sol,PT,70.43,scattered clouds,32.6667,-17.1,Hotel do Campo
100,Santa Cruz,BO,75.25,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
101,Port Lincoln,AU,70.43,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
102,Amuntai,ID,79.18,scattered clouds,-2.4177,115.2494,Hotel Balqis
104,Mersing,MY,73.31,broken clouds,2.4312,103.8405,Timotel Hotel
107,Da Nang,VN,75.18,broken clouds,16.0678,108.2208,Sun River Hotel
121,Airai,TL,71.78,broken clouds,-8.9266,125.4092,Juvinal Martin
122,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
123,Georgetown,MY,79.95,scattered clouds,5.4112,100.3354,Cititel Penang
124,Mitsamiouli,KM,78.93,few clouds,-11.3847,43.2844,Foyer ADM
126,Jega,NG,79.32,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
132,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
133,Sur,OM,79.52,clear sky,22.5667,59.5289,Sur Plaza Hotel
138,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
142,Marica,BR,72.86,overcast clouds,-22.9194,-42.8186,Marica Hills
146,Beinamar,TD,75.56,clear sky,8.6698,15.3813,
151,Sao Felix Do Xingu,BR,74.7,moderate rain,-6.6447,-51.995,Rio Xingu Camping
161,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
170,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
171,Zhuhai,CN,75.06,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
179,Linhares,BR,71.78,overcast clouds,-19.3911,-40.0722,Hotel Conceição
180,Trenggalek,ID,79.57,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
182,Semporna,MY,75.4,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
192,Itoman,JP,75.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
194,Rafai,CF,70.14,light rain,4.95,23.9167,
195,Catuday,PH,79.2,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
207,Caravelas,BR,75.15,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
208,Mapiripan,CO,73.89,moderate rain,2.8892,-72.1256,Monserrate
211,Lazaro Cardenas,MX,76.64,overcast clouds,17.9583,-102.2,quinta antigua
212,Santa Isabel Do Rio Negro,BR,77.04,overcast clouds,-0.4139,-65.0192,Hotel GSA
216,Christchurch,NZ,73.02,broken clouds,-43.5333,172.6333,The George
219,Pulivendla,IN,73.67,scattered clouds,14.4167,78.2333,Kothabalaji
231,Bandarbeyla,SO,75.92,broken clouds,9.4942,50.8122,JABIR HOTEL
233,Salalah,OM,74.84,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
236,Avera,US,74.71,scattered clouds,33.194,-82.5271,
238,Mawlaik,MM,70.92,broken clouds,23.6333,94.4167,AKZ Guest House
243,Namikupa,TZ,72.27,broken clouds,-10.8333,39.6,
253,Danlugan,PH,78.46,broken clouds,7.8914,123.3728,Zamboanga Hermosa Hotel
255,Sao Lourenco Do Sul,BR,73.45,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
262,Gambela,ET,74.71,broken clouds,8.25,34.5833,Solomon Debebe Hotel
263,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
264,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
265,Gurupi,BR,77.61,light rain,-11.7292,-49.0686,Via Norte Hotel
267,Kroya,ID,79.36,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
271,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
275,Gallup,US,73.24,clear sky,35.5281,-108.7426,El Capitan Motel
282,Bria,CF,70.27,overcast clouds,6.5423,21.9863,
283,Torit,SS,75.51,broken clouds,4.4133,32.5678,Diplomat Guest House
284,Poum,NC,76.62,few clouds,-20.2333,164.0167,Gîte kajeon
285,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
291,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
293,Quatre Cocos,MU,72.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
298,Ambovombe,MG,73.29,few clouds,-25.1667,46.0833,RELAHARA
303,Candido Mendes,BR,79.59,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
305,Inirida,CO,75.22,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
306,Alta Floresta,BR,73.89,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
319,Montepuez,MZ,70.21,few clouds,-13.1256,38.9997,PembaAparthotel
320,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
322,Male,MV,78.75,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
323,Hobyo,SO,79.59,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
330,Naze,JP,70.72,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
332,Reconquista,AR,70.07,clear sky,-29.15,-59.65,Grand Hotel
342,Muisne,EC,75.72,overcast clouds,0.6,-80.0333,Quinta Samay
345,Corrientes,AR,75.16,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
349,Marshall,US,70.11,scattered clouds,34.3834,-86.3333,Riverview Campground
350,Tuy Hoa,VN,74.5,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
352,Yanam,IN,74.23,overcast clouds,16.7333,82.2167,The Regency Hotel
354,Axim,GH,78.39,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
359,Mabaruma,GY,74.19,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
360,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
365,Wawa,NG,78.53,broken clouds,9.9022,4.4192,
367,Jalu,LY,74.73,scattered clouds,29.0331,21.5482,صاحبة الفخامة
368,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
369,Barra Do Garcas,BR,79.38,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
372,Takoradi,GH,76.91,light rain,4.8845,-1.7554,Raybow International Hotel
374,La Asuncion,VE,79.59,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
376,Avanigadda,IN,72.48,few clouds,16.0215,80.9181,AP Camping
382,Liliongan,PH,77.76,overcast clouds,7.3628,124.7928,
386,Lindi,TZ,76.44,overcast clouds,-10.0,39.7167,Lindi paradise house
387,Catamarca,AR,79.05,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
391,Awbari,LY,71.17,clear sky,26.5921,12.7805,فندق أوباري
393,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
394,Witu,KE,78.96,broken clouds,-2.3889,40.4382,
396,Nizwa,OM,76.24,clear sky,22.9333,57.5333,Orient Apartments
398,Humaita,BR,75.9,light rain,-7.5061,-63.0208,Corrêa Hotel
399,Kutiyana,IN,72.23,clear sky,21.6233,69.9817,દેવંગી પાન
401,Soubre,CI,73.09,light rain,5.7856,-6.6083,Lynd Hotels Soubre
403,Ixtapa,MX,77.77,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
405,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
407,Venado Tuerto,AR,77.77,clear sky,-33.7456,-61.9688,Hotel - Miro Park
408,Angoche,MZ,76.6,clear sky,-16.2325,39.9086,Guest House HESADA
421,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
426,Faanui,PF,74.34,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
428,Morondava,MG,77.92,overcast clouds,-20.2833,44.2833,La Case Bambou
430,Dulian,PH,76.32,overcast clouds,7.1214,122.1789,Galvez Rest House
