City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-10-27 21:00:07,-34.4187,19.2345,66.79,92,91,5.28
1,Sao Miguel,BR,2021-10-27 21:00:08,-5.4667,-35.3667,79.54,75,4,16.82
2,Hobart,AU,2021-10-27 21:00:09,-42.8794,147.3294,60.03,70,0,9.22
3,Saint-Philippe,RE,2021-10-27 21:00:10,-21.3585,55.7679,69.39,79,32,10.27
4,Mataura,NZ,2021-10-27 21:00:11,-46.1927,168.8643,60.39,69,10,4.07
5,Vaini,TO,2021-10-27 21:00:12,-21.2,-175.2,74.53,74,98,20.94
6,Madinat Sittah Uktubar,EG,2021-10-27 21:00:13,29.8167,31.05,73.56,54,17,10.96
7,Berdigestyakh,RU,2021-10-27 21:00:14,62.0989,126.6992,24.35,94,100,8.66
8,Rikitea,PF,2021-10-27 21:00:14,-23.1203,-134.9692,73.92,78,28,6.44
9,Jamestown,US,2021-10-27 21:00:15,42.097,-79.2353,55.53,78,27,8.01
10,Kokopo,PG,2021-10-27 21:00:16,-4.352,152.2633,80.73,78,30,6.51
11,San Patricio,US,2021-10-27 21:00:17,28.017,-97.5169,91.02,16,0,25.39
12,Provideniya,RU,2021-10-27 21:00:18,64.3833,-173.3,19.51,63,75,8.95
13,Thompson,CA,2021-10-27 20:56:20,55.7435,-97.8558,41.16,100,90,3.44
14,Olafsvik,IS,2021-10-27 21:00:19,64.8945,-23.7142,39.72,94,100,26.46
15,Ponta Do Sol,PT,2021-10-27 21:00:20,32.6667,-17.1,70.43,69,5,2.89
16,Punta Arenas,CL,2021-10-27 21:00:20,-53.15,-70.9167,55.11,58,28,14.5
17,Meulaboh,ID,2021-10-27 21:00:21,4.1363,96.1285,74.75,90,100,3.6
18,Ushuaia,AR,2021-10-27 20:57:11,-54.8,-68.3,51.42,57,40,20.71
19,Ketchikan,US,2021-10-27 21:00:22,55.3422,-131.6461,46.36,76,93,13.22
20,Kapaa,US,2021-10-27 21:00:23,22.0752,-159.319,81.19,85,0,1.01
21,Port Elizabeth,ZA,2021-10-27 21:00:23,-33.918,25.5701,66.56,81,100,18.7
22,Busselton,AU,2021-10-27 21:00:24,-33.65,115.3333,45.05,76,77,8.21
23,Qaanaaq,GL,2021-10-27 21:00:26,77.484,-69.3632,20.97,94,100,11.34
24,Yellowknife,CA,2021-10-27 21:00:26,62.456,-114.3525,42.42,97,98,5.99
25,Atuona,PF,2021-10-27 21:00:27,-9.8,-139.0333,77.65,69,12,14.76
26,Korla,CN,2021-10-27 21:00:27,41.7597,86.1469,46.85,44,8,1.72
27,Kargasok,RU,2021-10-27 21:00:28,59.0556,80.8572,23.68,95,9,7.27
28,Albany,US,2021-10-27 20:59:48,42.6001,-73.9662,59.74,68,97,6.87
29,Monroe,US,2021-10-27 20:58:00,43.1501,-77.6831,56.95,69,7,1.01
30,Havelock,US,2021-10-27 21:00:20,34.8791,-76.9013,70.05,65,2,7.0
31,Mchinji,MW,2021-10-27 21:00:29,-13.7984,32.8802,67.41,74,18,6.67
32,San Buenaventura,MX,2021-10-27 21:00:30,27.0833,-101.5333,87.48,38,0,22.53
33,Chenzhou,CN,2021-10-27 21:00:30,25.8,113.0333,60.57,89,98,2.08
34,Avarua,CK,2021-10-27 21:00:31,-21.2078,-159.775,77.05,69,90,8.05
35,Barrow,US,2021-10-27 21:00:31,71.2906,-156.7887,19.42,86,90,5.75
36,Charyshskoye,RU,2021-10-27 21:00:32,51.3978,83.5598,29.03,98,100,1.28
37,Tazovskiy,RU,2021-10-27 21:00:32,67.4667,78.7,2.05,96,66,5.77
38,New Norfolk,AU,2021-10-27 21:00:33,-42.7826,147.0587,59.67,57,5,2.39
