City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,2021-10-25 23:48:00,71.9167,114.0833,-0.8,97,100,2.66,overcast clouds
1,Graaff-Reinet,ZA,2021-10-25 23:45:04,-32.2522,24.5308,52.92,80,9,2.51,clear sky
2,Mandan,US,2021-10-25 23:47:39,46.8267,-100.8896,48.18,72,1,24.16,clear sky
3,Beian,NO,2021-10-25 23:48:01,63.6559,9.5683,50.0,93,40,9.22,light rain
4,Ribeira Grande,PT,2021-10-25 23:44:54,38.5167,-28.7,68.74,76,44,20.42,scattered clouds
5,Rikitea,PF,2021-10-25 23:43:59,-23.1203,-134.9692,75.45,72,69,18.92,broken clouds
6,Vaini,TO,2021-10-25 23:48:03,-21.2,-175.2,80.76,74,20,11.5,few clouds
7,Egvekinot,RU,2021-10-25 23:48:03,66.3167,-179.1667,2.88,85,14,4.83,few clouds
8,Salisbury,GB,2021-10-25 23:43:19,51.0693,-1.7957,54.43,93,40,4.61,scattered clouds
9,Verkhoyansk,RU,2021-10-25 23:48:05,67.5447,133.385,-6.43,100,75,1.32,broken clouds
10,Kapaa,US,2021-10-25 23:48:05,22.0752,-159.319,84.18,81,90,5.01,overcast clouds
11,Ushuaia,AR,2021-10-25 23:48:06,-54.8,-68.3,35.26,87,40,23.02,light snow
12,Atuona,PF,2021-10-25 23:48:07,-9.8,-139.0333,78.12,73,27,16.37,scattered clouds
13,Qaanaaq,GL,2021-10-25 23:48:07,77.484,-69.3632,3.22,62,68,15.1,broken clouds
14,Bathsheba,BB,2021-10-25 23:48:08,13.2167,-59.5167,83.01,74,40,21.85,scattered clouds
15,East London,ZA,2021-10-25 23:48:08,-33.0153,27.9116,63.93,84,93,10.58,light rain
16,Bambous Virieux,MU,2021-10-25 23:48:09,-20.3428,57.7575,72.21,83,40,12.66,scattered clouds
17,Esmeraldas,BR,2021-10-25 23:48:10,-19.7625,-44.3139,72.64,91,96,11.1,light rain
18,Kaitangata,NZ,2021-10-25 23:48:11,-46.2817,169.8464,56.59,79,100,7.02,overcast clouds
19,Port Alfred,ZA,2021-10-25 23:48:11,-33.5906,26.891,63.91,82,29,14.72,scattered clouds
20,Kawalu,ID,2021-10-25 23:48:12,-7.3817,108.2082,74.93,83,91,1.66,overcast clouds
21,Punta Arenas,CL,2021-10-25 23:43:35,-53.15,-70.9167,41.11,70,40,9.22,scattered clouds
22,Busselton,AU,2021-10-25 23:48:13,-33.65,115.3333,49.05,72,97,1.59,light rain
23,Bethel,US,2021-10-25 23:48:13,41.3712,-73.414,66.99,89,90,1.99,overcast clouds
24,Longyearbyen,SJ,2021-10-25 23:48:14,78.2186,15.6401,19.24,58,0,18.41,clear sky
25,San Quintin,MX,2021-10-25 23:48:15,30.4833,-115.95,66.29,72,6,13.96,clear sky
26,Miraflores,MX,2021-10-25 23:48:15,19.2167,-98.8083,68.04,81,77,4.05,broken clouds
27,Albany,US,2021-10-25 23:46:35,42.6001,-73.9662,57.74,91,100,3.85,overcast clouds
28,Mataura,NZ,2021-10-25 23:48:16,-46.1927,168.8643,68.32,60,88,0.83,overcast clouds
